_id,address,latitude,longitude,name,suburb,website,approved_places,phone_number,managed_by,email,long_day_care,funded_3yo_kindergarten,funded_4yo_kindergarten,central_registration,school,active,json_geometry,geo_point_2d,centrally_registered
33,105 Lydiard Street,-37.5647033,143.8566406,Federation Children's Centre SMB Campus,Ballarat Central,https://federation.edu.au/childrens-centres,85,5327 8183,Federation University,childrenscentres@federation.edu.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8566406, -37.5647033]}","-37.5647033, 143.8566406",Kindergartens participating in Central Kindergarten Registration Scheme
34,105 - 107  Lonsdale Street,-37.5755105,143.8345634,Iris Ramsay Kindergarten,Redan,https://ecka.org.au/,55,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8345634, -37.5755105]}","-37.5755105, 143.8345634",Kindergartens participating in Central Kindergarten Registration Scheme
35,187 Spencer Street,-37.6025643,143.838786,Sebastopol South Kindergarten,Sebastopol South,https://ecka.org.au/,45,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.838786, -37.6025643]}","-37.6025643, 143.838786",Kindergartens participating in Central Kindergarten Registration Scheme
36,Corner of Gillies Street North and Hastings Street,-37.5316076,143.8240041,Wendouree Children's Centre,Wendouree,https://www.ballarat.vic.gov.au/me/families/child-care-centres,75,5320 8200,City of Ballarat,WCC@ballarat.vic.gov.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8240041, -37.5316076]}","-37.5316076, 143.8240041",Kindergartens participating in Central Kindergarten Registration Scheme
37,39 Violet Grove,-37.5271777,143.8203652,Yuille Park Kindergarten,Wendouree,https://yuilleparkcc.vic.edu.au/childrens-centre,49,5339 5555,Yuille Park Primary School,yuille.park.kin@kindergarten.vic.gov.au,No,True,True,Yes,True,True,"{""type"": ""Point"", ""coordinates"": [143.8203652, -37.5271777]}","-37.5271777, 143.8203652",Kindergartens participating in Central Kindergarten Registration Scheme
38,40 Water Street,-37.555226,143.897924,Y Learn & Swim Kindergarten,Brown Hill,https://ylearnandswim.org.au/kinder/,,4320 0850,YMCA,info@ylearnandswim.org.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.897924, -37.555226]}","-37.555226, 143.897924",Kindergartens participating in Central Kindergarten Registration Scheme
39,21-53 Learmonth Road,-37.534607,143.817021,Aurrum Kids,Wendouree,https://aurrumkids.com.au/our-centres/child-care-ballarat/,50,1300 287 786,Aurrum Kids,info@aurrumkids.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.817021, -37.534607]}","-37.534607, 143.817021",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
40,200B Victoria Street,-37.552006,143.812439,Journey Early Learning Centre- Ballarat East,Ballarat East,https://journey.edu.au/centre/ballarat-east/,50,9005 4650,Journey,ballarateast@journey.edu.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.812439, -37.552006]}","-37.552006, 143.812439",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
41,330 Glenelg Highway,-37.589871,143.80436,Journey Early Learning Centre- Delacombe,Winter Valley,https://journey.edu.au/centre/delacombe/,40,9005 4650,Journey,enrol@journey.edu.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.80436, -37.589871]}","-37.589871, 143.80436",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
42,36 Harris Drive,-37.5457748,143.7828152,Journey Early Learning - Lucas Rise,Lucas,https://journey.edu.au/centre/lucas-rise/,40,9005 4650,Journey,enrol@journey.edu.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.7828152, -37.5457748]}","-37.5457748, 143.7828152",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
43,1 Reynold's Parade,-37.5952813632334,143.805097597113,Brady Bunch Early Learning Centre- Delacombe,Smythes Creek,https://www.bradybunchelc.com.au/,,5339 8556,,emma.s@bradybunchelc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8050975971, -37.5952813632]}","-37.5952813632334, 143.805097597113",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
44,704 Skipton Street,-37.5750709362467,143.842104015901,Community Kids Haven ELC,Redan,https://communitykidshaven.com.au/,,1300 000 254,Community Kids Haven,info@communitykidshaven.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8421040159, -37.5750709362]}","-37.5750709362467, 143.842104015901",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
45,614 Mair Street,-37.5586047,143.8510722,Ballarat Clarendon College Early Learning Centre,Ballarat Central,https://www.clarendon.vic.edu.au/school-life/elc/,165,5330 8100,Ballarat Clarendon College,jsoffice@clarendon.vic.edu.au,No,True,True,No,True,True,"{""type"": ""Point"", ""coordinates"": [143.8510722, -37.5586047]}","-37.5586047, 143.8510722",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
46,1013 Ligar Street,-37.540552,143.863418,Ballarat North Early Learning Centre,Ballarat North,https://www.ballaratnorthelc.com.au/,120,5332 3533,,,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.863418, -37.540552]}","-37.540552, 143.863418",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
47,8 Baudinette Drive,-37.593464,143.830595,Brady Bunch Early Learning Centre- Ballarat,Sebastopol,https://www.bradybunchelc.com.au/,110,5339 8503,,jemma@bradybunchelc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.830595, -37.593464]}","-37.593464, 143.830595",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
48,311 Learmonth Street,-37.6510176,143.8847771,Buninyong Child Care Centre,Buninyong,https://buninyongchildcarecentre.com.au/,100,5341 2641,,info@buninyongchildcarecentre.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8847771, -37.6510176]}","-37.6510176, 143.8847771",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
49,1212 - 1216 Norman Street,-37.531786,143.821298,Green Leaves Early Learning Centre,Wendouree,https://greenleaveselc.com.au/centre/wendouree/,108,5334 5046,GreenLeaves,,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.821298, -37.531786]}","-37.531786, 143.821298",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
50,89-93 Albert Street,-37.589886,143.841499,Sesame Kids,Sebastopol,https://sesamekids.com.au/,130,5384 5232,,info@sesamekids.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.841499, -37.589886]}","-37.589886, 143.841499",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
51,1853-1857 Sturt Street,-37.5466151,143.7958894,Sturt Street Early Learning,Alfredton,https://sturtstreetearlylearning.com.au/,100,,,director@sturtstreetearlylearning.com.au,Yes,False,False,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.7958894, -37.5466151]}","-37.5466151, 143.7958894",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
52,6-8 Balyarta Street,-37.5524015,143.8064622,Alfredton Preschool,Alfredton,https://earlylearning.unitingvictas.org.au/find-a-service/alfredton-preschool/,48,1800 183 103,Uniting,ballaratELadmin@vt.uniting.org,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8064622, -37.5524015]}","-37.5524015, 143.8064622",Kindergartens participating in Central Kindergarten Registration Scheme
53,1 Reid Court,-37.551825,143.895079,Brown Hill Kindergarten,Brown Hill,https://ecka.org.au/,66,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.895079, -37.551825]}","-37.551825, 143.895079",Kindergartens participating in Central Kindergarten Registration Scheme
54,2 Mitchell Drive,-37.514606,143.70879300000001,Cardigan Village Kindergarten,Cardigan Village,https://earlylearning.unitingvictas.org.au/find-a-service/cardigan-village-kindergarten/,20,1800 183 103,Uniting,ballaratELadmin@vt.uniting.org,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.708793, -37.514606]}","-37.514606, 143.70879300000001",Kindergartens participating in Central Kindergarten Registration Scheme
55,12 Vale Street,-37.604179,143.83873,Journey Early Learning Centre - Sebastopol,Sebastopol,https://journey.edu.au/centre/sebastopol/,92,5336 4430,Journey,sebastopol@journey.edu.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.83873, -37.604179]}","-37.604179, 143.83873",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
56,Mainwaring Drive,-37.625627,143.893679,Federation Children's Centre Mount Helen,Mount Helen,https://federation.edu.au/childrens-centres,82,5327 9456,Federation University,childrenscentres@federation.edu.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.893679, -37.625627]}","-37.625627, 143.893679",Kindergartens participating in Central Kindergarten Registration Scheme
57,11B Steinfeld Street,-37.5655307,143.862798,Girrabanya Children's Centre,Ballarat Central,https://www.ballarat.vic.gov.au/me/families/child-care-centres,98,5320 5150,City of Ballarat,GCC@ballarat.vic.gov.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.862798, -37.5655307]}","-37.5655307, 143.862798",Kindergartens participating in Central Kindergarten Registration Scheme
58,17 Coltman Plaza,-37.5439809,143.7836696,Lucas Kindergarten,Lucas,https://ykinders.org.au/centres/lucas/,66,4311 1559,YMCA,lucas@ykinders.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.7836696, -37.5439809]}","-37.5439809, 143.7836696",Kindergartens participating in Central Kindergarten Registration Scheme
59,2 Dallas Avenue,-37.6074947,143.8682289,Mount Clear Community Kindergarten,Mount Clear,https://ecka.org.au/,66,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8682289, -37.6074947]}","-37.6074947, 143.8682289",Kindergartens participating in Central Kindergarten Registration Scheme
60,826 Laurie Street,-37.5780865,143.8537756,Mount Pleasant Kindergarten,Mount Pleasant,https://ecka.org.au/,63,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8537756, -37.5780865]}","-37.5780865, 143.8537756",Kindergartens participating in Central Kindergarten Registration Scheme
61,32-48 Hertford Street,-37.585593,143.835184,Phoenix Kindergarten,Sebastopol,https://ecka.org.au/,66,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.835184, -37.585593]}","-37.585593, 143.835184",Kindergartens participating in Central Kindergarten Registration Scheme
62,402 Forest Street,-37.5219924,143.8351379,Rowan View Pre-school,Wendouree,https://www.ballarat.vic.gov.au/community/families-youth-childrens-services/council-early-learning,47,5320 5720,City of Ballarat,kindergarten@ballarat.vic.gov.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8351379, -37.5219924]}","-37.5219924, 143.8351379",Kindergartens participating in Central Kindergarten Registration Scheme
63,506 Armstrong Street North,-37.5503318,143.8587308,Soldiers Hill Kindergarten,Soldiers Hill,https://ecka.org.au/,29,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8587308, -37.5503318]}","-37.5503318, 143.8587308",Kindergartens participating in Central Kindergarten Registration Scheme
64,78 Victoria Street,-37.5622495,143.8713516,St Alipius Kindergarten,Ballarat East,https://ecka.org.au/,28,5339 5055,St Alipius Primary School,info@ecka.org.au,No,True,True,Yes,True,True,"{""type"": ""Point"", ""coordinates"": [143.8713516, -37.5622495]}","-37.5622495, 143.8713516",Kindergartens participating in Central Kindergarten Registration Scheme
65,18 Donegal Drive,-37.564773,143.796358,Djila-tjarriu Community Hub Kindergarten,Alfredton,https://www.ballarat.vic.gov.au/community/families-youth-childrens-services/council-early-learning,40,5320 5720,City of Ballarat,kindergarten@ballarat.vic.gov.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.796358, -37.564773]}","-37.564773, 143.796358",Kindergartens participating in Central Kindergarten Registration Scheme
66,111 Rubicon Street,-37.5823131,143.8394554,Yirram Burron Early Learning,Sebastopol,https://yirramburron.net.au,,5335 6231,BADAC,admin@yirramburronel.net.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8394554, -37.5823131]}","-37.5823131, 143.8394554",Kindergartens participating in Central Kindergarten Registration Scheme
67,1732 Sturt Street,-37.551951,143.812482,Jenny's ELC- The Arch,Alfredton,https://www.jennyselc.com.au/childcare-centre-thearch-ballarat/,50,5303 9090,Jenny's ELC,thearch@jennyselc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.812482, -37.551951]}","-37.551951, 143.812482",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
68,199 Smythes Road,-37.5898310954035,143.813315624712,Jenny's ELC- Delacombe,Delacombe,https://www.jennyselc.com.au/childcare-centre-delacombe/,,53398738,,delacombe@jennyselc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8133156247, -37.5898310954]}","-37.5898310954035, 143.813315624712",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
69,67 Howe Street,-37.4987285698506,143.80544445465,Brady Bunch Early Learning Centre - Miners Rest,Miners Rest,https://www.bradybunchelc.com.au/,,5334 9555,Brady Bunch,ericka@bradybunchelc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8054444547, -37.4987285699]}","-37.4987285698506, 143.80544445465",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
70,1018-1022 Grevillea Road,-37.5278898263711,143.836604210474,Kidscape Early Learning Centre- Wendouree,Wendouree,https://www.kidscape.com.au/,,4320 0899,Kidscape,wendouree@kidscape.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8366042105, -37.5278898264]}","-37.5278898263711, 143.836604210474",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
